Living the high life!,high life
"My life is less of this,” he says as scenes roll showing Leonardo DiCaprio living the high life in the Hamptons as Jordan Belfort, the former trader who was ultimately convicted in 1999 of felonies related to stock-market manipulation, “and more of this.”",high life
"Back in 1876, no one could work out how Belknap, this modestly paid Secretary of War, was living the high life on his government salary.",high life
"Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.",high life
"We encourage you to invest carefully and read the investor information available at the website of the U.S. Securities and Exchange Commission at www.sec.gov, where you can also find all of World High Life’s filings and disclosures.",high life
"On the other hand, it’s not like promising people 100,000 yen is going to make them less likely to have kids, and the proposal at least sounds more realistic than trying to pump up the birth rate by having artificial intelligence programs pick out spouses for people or simply relying on parents to nag their adult children into procreating.",birth rate
"The government has ""found it will be difficult to reverse the low birth rate trend in the near future” and so will be adopting a ""two track” approach of encouraging births, while finding ways to adjust the economy to a shrinking and aging population, according to a joint statement from 11 ministries on Wednesday.",birth rate
"Many misunderstand the relationship among a low birth rate, aging population and negative population growth.",birth rate
Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birth rate to reverse the negative trend.,birth rate
"There may be an increase in the birth rate in the first half of this year, Lynch says, ""because that would relate to the earlier part of lockdown in 2020, when people thought that the lockdown would be a much more insignificant thing and that coronavirus was going to be a more insignificant thing than it turned out to be.",birth rate
"Humble and hardworking, Hank was often overlooked until he started chasing Babe Ruth’s home run record, at which point he began receiving death threats and racist letters — letters he would reread decades later to remind himself ‘not to be surprised or hurt.’ Those letters changed Hank, but they didn’t stop him,"" he said.",home run
"Hank Aaron's home run record exposed America,"" says Harry Edwards, the famed sociologist and activist who helped organize the Black power salute at the 1968 Olympics, ""and the steepness of the hill to be climbed.""",home run
Aaron broke Ruth's record with his 715th home run for the Atlanta Braves in 1974 in former President Jimmy Carter's native Georgia.,home run
"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s home run record.",home run
An effective public service must be contextualized with clear and transparent employment modalities to deliver continuous reassessment of the required mix of skills and competences.,public service
Program leaders said the scholarship defines public service broadly and imagines a variety of pathways toward civic engagement.,public service
"Washington: The United States, represented by the US Department of Defense, presented Ambassador of the State of Qatar to the United States of America H E Sheikh Meshaal bin Hamad Al Thani with the Department of Defense Medal for Distinguished Public Service, the highest honorary award given by the United States to US officials and officials of the governments of friendly countries.",public service
"In the ensuing years, Wennberg might not have managed to knock down the parking deck, but his administration helped keep Central Vermont Public Service from moving its corporate headquarters out of the city, and after successfully fighting a number of shopping centers city officials worried would pose a threat to downtown, he negotiated a deal that kept Diamond Run Mall from hosting a movie theater or supermarket and got the city a couple million dollars in payments that funded a variety of projects through the years.",public service
"The 2021 Official Idaho Travel Guide is available for order at no cost, and for digital download through visitidaho.org.",travel guide
"Forbes Travel Guide also supports the hospitality industry and other service-oriented businesses such as luxury residential, healthcare and private clubs with bespoke training solutions, evaluation services and the creation of custom service standards.",travel guide
A luxury travel guide to Jamaica: Jewel of the Caribbean,travel guide
"To celebrate the launch of the travel guide, Idaho Tourism is hosting a virtual scavenger hunt Tuesday, Jan. 12 through Thursday, Jan. 14.",travel guide
"They’ve also got:“ Killers of the Flower Moon,” directed by Martin Scorsese and starring Leonardo DiCaprio and Robert De Niro; “Swan Song” with Mahershala Ali, Naomie Harris and Glenn Close and Awkwafina; “Kitbag,” from Ridley Scott and Joaquin Phoenix; A24’s “Sharper” with Julianne Moore; and “Snow Blind” with Jake Gyllenhaal.",swan song
Tyrone Smith is dreaming of achieving one final Olympic Games appearance to sign off on his athletics career in the most fitting of swan songs.,swan song
"Blockchains, fundamentally, are banking because what they’re doing is allowing the transaction of value across networks … they’re doing it in an orthogonally different way,"" he said Wednesday in what may be his swan song in public office.",swan song
"It was a swan song for a presidency whose legacy will be, above all else, the divisions he has sown; a coup de grâce after an attempted coup d’état.",swan song
The veteran striker had departed for what appeared to be a career swan song at the Los Angeles Galaxy just before a teenage Dalot arrived at Old Trafford three years ago.,swan song
The fact that Pompeo would even acknowledge comments comparing the U.S. to a “banana republic” — a term most often used to derisively describe military dictatorships in Latin America and Africa — was a sign that the events of Wednesday have caused significant damage to U.S. standing as a champion of democracy and human rights.,banana republic
"Explaining the concerns of fellow CEOs outraged at what had occurred, Richard Edelman, head of a major public relations firm, said, “They don't like the idea America is a banana republic.”",banana republic
"The history of the banana republic reminds us that the notion of the United States as a beacon of human rights and democracy is, for all too many across the globe, a lie.",banana republic
A banana republic is an unstable government that oversees an economy reliant on one industry.,banana republic
"Beginning in August, Banana Republic is launching their new limited edition 'Mad Men' inspired collection.",banana republic
"Now, in his recent social media post, Salman has yet again left us amused with his hilarious caption while congratulating his dear friend Sadiq on his wedding anniversary.",wedding anniversary
"Today, veteran actress Neetu Kapoor remembered Rishi on their 41stb wedding anniversary.",wedding anniversary
"Meanwhile, several other Bollywood friends of Soha and Kunal have also extended warm greetings on their wedding anniversary.",wedding anniversary
"Family members said Dick and Shirley Meek, ages 89 and 87, dropped their guard to celebrate their 70th wedding anniversary on December 22.",wedding anniversary
"We do not want this 'bad apple' to taint the integrity of other PEZA enterprises and obliterate the gains and brand of excellence and in the regulatory role of PEZA over the past 25 years,"" noted Plaza.",bad apple
"But one thing is clear: the sexual abuse of immigration detainees is not an isolated problem, limited to one rogue facility or merely the result of a handful of bad apple government contractors who staff the nation’s immigration centers.",bad apple
Passan was one of the few men in the industry to take a stance beyond just labeling Porter another “bad apple.”,bad apple
"The original material—“Last Minute Picker,” Can’t Escape,” “Reap What You Sow,” “Bad Apple,” and “Evil Thoughts,” in particular—find Volt varying the pacing while shifting from blustery boogie to insistent shuffles.",bad apple
"And so it was that on January 1, 1982, that the foot patrols returned and the Panda Car policy went gradually into reverse.",panda car
Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a panda car.,panda car
Moments before the accident a police panda car had driven up behind the Sierra and activated its blue lights requiring the car to stop.,panda car
But this picture taken on this day 36 years ago shows when the doctrine went full circle the other way -- as Lancashire switched hundreds of officers to mobile patrols and pioneered the introduction of 'Panda Cars' in Britain.,panda car
"It is the message of grace…A grace   that pays the eager beaver who works all day long the same wages   as the grinning drunk who shows up at ten till five…A grace that   hikes up the robe and runs breakneck toward the prodigal reeking   of sin and wraps him up and decides to throw a party no ifs, ands,   or buts…This grace is indiscriminate compassion.",eager beaver
"Today two fresh faced eager beavers from the FBI showed up unannounced (obviously) on my doorstep thoroughly convinced that my clients have been trading on copious inside information,"" the email said.",eager beaver
"If you're the type of eager beaver who likes to get your taxes done early every year, you'll have to wait a bit longer than usual to file your 2020 return — until well after Groundhog Day, in fact.",eager beaver
"Erin, determined to win back custody, takes a job as an exotic dancer at the Eager Beaver where she is protected by Shad (Rhames), the bouncer.",eager beaver
"For International Week art projects, 3rd graders painted cherry blossom trees on rice paper, while 4th and 5th graders created art based on traditional meals in their families, district officials said.",rice paper
"Hallmark referred to its offerings as ""international symbols of quality and good taste,"" and Wong's cards often came with foil borders, rice paper sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card.",rice paper
"We did thousands of those realistic drawings of Hong Kong in pencil and charcoal on rice paper, but I would not call it photorealism, it is my impressionistic view of my memory with a twist,"" he wrote via email.",rice paper
"A rice paper shade gives you more flexibility than a diffuser because it can be used on wall lights and table lights and can be molded to hide a light from any direction, while diffusers only hide the light from below.",rice paper
"Researchers have used photon avalanching in specialized lasers, where the photon absorption sets off a chain reaction of optical events that ultimately lead to efficient lasing.",chain reaction
"That's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this chain reaction crash,"" Dinkla added.",chain reaction
"The lead EPS vehicle then also reportedly stopped suddenly to prevent hitting the civilian vehicle ahead of it, resulting in a chain reaction with the five vehicles behind.”",chain reaction
"with the exception of this, the Polymerase Chain Reaction (PCR) Products report conjointly covers detailed data concerning numerous purchasers that is that the most vital part for the makers.",chain reaction
"Led by VCU physicist Jason Reed, Ph.D., the team developed a technique that combines a process called digital polymerase chain reaction (dPCR) with high- speed atomic force microscopy (HSAFM) to create an image with such nanoscale resolution that users can measure differences in the lengths of genes in a DNA sequence.",chain reaction
My skin smelled so good afterward and I definitely felt like a Sex Bomb!,sex bomb
"The Birkenhead-born funnyman gets to launch his prime time slot with Welsh sex bomb Tom Jones, and he'll be making his acrobatic debut with Britain's Got Talent winners Spellbound.",sex bomb
"Meanwhile, Intercon-X's Web masters, John (Josh Hamilton) and Moe (Harold Perrineau, who's also in this May's cyber-themed The Matrix: Reloaded), face their own dilemmas involving a bisexual sex bomb (Vanessa Ferlito), a suicidal nice gal (Isabel Gillies), and an enigmatic exhibitionist (Liz Owens).",sex bomb
"Let’s get this out of the way up front: Nobody, not even the erotic titan Sir Tom Jones OBE himself, can pull off a performance of “Sex Bomb” without looking hilarious in the process.",sex bomb
"Students coming to campus occasionally should complete Health Check on the day they plan to be here, before they arrive.",health check
"Essence Media Health Check can be an invaluable tool for marketers to turbocharge their digital transformation journeys, and in partnership with EDB, we are committed to helping brands, in Singapore and globally, unlock value from their programmes.""",health check
"However, today’s health check can be as simple as picking up the phone and connecting with that friend you may have lost touch with.",health check
"Over the weekend, an unarmed Black man was fatally shot by a police officer in Killeen, Texas, after the officer responded to a call for a mental health check.",health check
"The “Modern Family” star revealed earlier this month that she dyed her hair ""cotton candy"" pink and she recently debuted longer extensions to complete the new hairstyle.",cotton candy
"Potted specimens of ""Cotton Candy"" are usually available at garden centers in early spring and, sometimes, during summer.",cotton candy
"And with the new hour comes the arrival of Group B: Sloth, Ice Cube, Zebra, Cotton Candy and Moth.",cotton candy
"In TheWrap's exclusive clip from the hour, which you can view above, Abdul gives her prediction about Cotton Candy's identity following her most recent performance in front of the judges.",cotton candy
"After staying closed in the morning, Mercamadrid, the city’s main wholesale food market, said convoys of trucks which had been stranded in the snow since Friday had started arriving and that it was preparing to resume activity from Monday night.",food market
"On the whole, the report depicts detailed overview of the global ready to eat food market that will help industry consultants, equipment manufacturers, existing players searching for expansion opportunities, new players searching possibilities and other stakeholders to align their market centric strategies according to the ongoing and expected trends in the future.",food market
"The report uncovers important insights of the Canned Preserved Food market and includes projections with respect to revenue, industry size, and sales volumes over the study period.",food market
Wet Pet Food Market research study involved the extensive usage of both primary and secondary data sources.,food market
"For example, River Stone Insurance Limited, a domestic insurance company in the United Kingdom, is an alien insurance company in the U.S. Alien insurance companies must file financial statements, auditor’s reports and meet the requirements of the National Association of Insurance Commissioners (NAIC) International Insurers Department before being permitted to sell policies in the U.S.",insurance company
"In the Talcott transaction, Sixth Street is buying from a group of investors who have worked to grow the insurance company over the past several years, including Cornell Capital LLC, Atlas Merchant Capital LLC, TRB Advisors LP and Global Atlantic Financial Group.",insurance company
"Since our founding 12 years ago, our employees have dedicated themselves to creating a differentiated specialty insurance company.",insurance company
"Axis Mutual Fund picked up 22 lakh shares, Max Life Insurance Company 12.75 lakh scrips, PCA India Infrastructure Equity Open 8.18 lakh shares, Nomura Singapore 7.5 lakh shares, and Goldman Sachs Investments (Mauritius) I bought 7.5 lakh shares, block deal data showed.",insurance company
"The strategic partnership will enable Muthoottu Mini Financiers, which has a strong and wide network across the country with more than 30 lakh+ customer base, to facilitate greater brand awareness for Exide Life Insurance Company Limited.",insurance company
"LUBA Workers’ Comp and FHM Insurance Company will provide workers’ comp coverage in Louisiana, Mississippi, Texas, Arkansas, Oklahoma, Alabama, Tennessee, Florida, Georgia, South Carolina, North Carolina, Virginia, and Kentucky.",insurance company
"There are 5178 pillow slip covers for sale on Etsy, and they cost $27.40 on average.",pillow slip
"It was empty, but on the floor lay the pillow slip which Sylvia had defended from John so heatedly.",pillow slip
""" Edna again seized the pillow slip and shook out a number of bits of paper that had sunk to the bottom.",pillow slip
"Edna was absorbed with her carpenters and their alterations, and Sylvia found no difficulty in escaping unquestioned to the woods, the pillow slip hanging over her arm. ",pillow slip
"Since the past decade, southern and western provinces of the country are frequently hit by severe sand and dust storms, as well as drought, which is caused by both internal and external hotpots.",dust storm
"The closer proximity to the sun warms the planet's atmosphere, and the increased warmth and the planet's increased speeds whipping around so close to the sun stir up particles in the Martian soil, which can lead to intense dust storms that can stretch around the entire globe.",dust storm
"As a result of global warming, droughts will likely become more frequent and the number of severe dust storms in Australia may increase in the future.",dust storm
"If you have asthma or seasonal allergies, Dr. Tarbox said dust storms could make them worse, but even if you don't have preexisting lung issues, Tarbox added you could still feel sick and develop a cough and irritated eyes after inhaling the flying dirt and debris.",dust storm
All the people are urged to wear masks and sun glasses and other things to protect themselves from dust storm.,dust storm
"An untimely drought sparked off a massive disaster, including crop failures, farm foreclosures and dust storms that could get so bad they would reduce visibility to a foot or less in broad daylight.",dust storm
"There are three key factors responsible for the generation of sand and dust storms – strong wind, lack of vegetation, and absence of rainfall.",dust storm
"But although dust storms are frequent during the Australian spring and summer, and Australian dust has a high iron content, witnessing the oceans bloom has proven elusive.",dust storm
About “Incarceration Of A Flower Child”,flower child
"Tully is the daughter of a drugged up flower child who calls herself ""Cloud"" (Beau Garrett), while Kate has grown up the beloved baby girl of a wholesome Irish Catholic family in suburban Seattle.",flower child
"When the hippie movement began with flower children from the upper middle class, there were no arms, but the new hip movement is buttressed by the lower middle class and the lower class too, where they know about weapons.""",flower child
Gone are the flower child costumes worn by the hippies in the original show replaced with grungy street clothes.,flower child
"And AMANDA ABRIGHT (as Bobbi Michele) is certainly too young to have been a ""flower child,"" but she bloomed on stage splendidly!",flower child
"In Washington, Biden invited 10 moderate Republicans to the White House to discuss his proposed $1.9 trillion economic aid plan.",economic aid
"Hopes for economic aid, along with the Federal Reserve’s pledge to keep low- cost credit plentiful, have carried the S&P; 500 and other major indexes to record highs.",economic aid
Many people argue that government and economic aid is imperative.,economic aid
"The SBA, which has faced unprecedented demands from Congress during the economic and health crisis, has not fully implemented relief efforts from December’s economic aid package.",economic aid
"The FT-Peterson survey showed voter anger targeting both sides of the aisle, with a plurality of 39 per cent saying Democrats and Republicans were “equally responsible” for the failure to pass additional economic aid.",economic aid
Children of Jaws' might have been a better title for this teen version of the big fish story.,fish story
"Well, I've got a tale that rivals any great fish story.",fish story
"Armed with his new fishing pole, Brody Sears is likely anxious to land another big one and have another big fish story to tell.",fish story
"It was an ambitious plan, not just because of the scale of the problem — more than 70 percent of Earth’s dry land area used for agriculture is degraded, and land covering 12 million hectares (equivalent to Bulgaria or Benin) is lost every year — but also because the pipeline of projects that a fund dedicated to land degradation could invest in was limited.",dry land
"Excited by the potential of uncovering ancient pasts, researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories, in search of sites that probably would have been destroyed or eroded if they lay on dry land.",dry land
"With bits of dry land jutting out here and there, the landscape looks like a vast archipelago.",dry land
"For example, in the data set, there was no difference between dry land and paddy land.",dry land
2 arrests in attack on famed San Francisco private eye Jack Palladino,private eye
"The private eye later played himself in ""The Insider,"" the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe.",private eye
"The result is that Private Eye now has around 175,000 subscribers – more than ever before.",private eye
"With time running out, I finish off my Hislop interview with some quickfire questions about life at Private Eye and the editor's future at the magazine.",private eye
Bow Tie also encouraged patrons to reserve tickets and food and drink items online in advance or through its phone app and temporarily waive ticket service fees for online purchases.,bow tie
"While the popularity of ties has waxed and waned over the last few centuries, the bow tie business is strong in 2011, as the piece of apparel is fashionable for both formal and casual dress.",bow tie
Some university professors prefer bow ties because they don't fall into soup bowls or interfere with engineering equipment usage.,bow tie
"Running a bow tie business is similar to running other clothing businesses, though bow tie business owners or operations managers should always be looking for new opportunities to grow the business and expand into new markets.",bow tie
"Wear bow ties every day if you want to incorporate them into your entire business attire, or wear them infrequently if you prefer to use them as a fashion statement.",bow tie
The bow ties provide such a pleasing decorative accent that you might want to make several more to hang in other parts of the room to add both symmetry and visual interest to your decor.,bow tie
A Closed Book was filmed at Knebworth House in the UK.,closed book
Assessments will consist of two hour closed book examinations containing short answer questions requiring critical analysis of complex case studies as well as Multiple Choice Questions.,closed book
His release is just another chapter in a closed book on one part of Detroit’s storied history.,closed book
"Ordinarily I am a closed book, but writing enabled me to open up and in the process I discovered I was in fact not alone.",closed book
"To one who has not taken into account William James’s profound, unremitting and sincere sense of the ultimate nature and value of individuality, the philosophy of James will always remain a closed book.",closed book
"Sometimes when new mothers experience mental disorders, it leads to feelings of guilt about being “a failure” and the development of (usually unfounded) worries that it might lead to removal of the child.",mental disorder
"chief civilian director, wrote in the investigation's findings that the officers involved ""made observations and received information consistent with [the woman] being a person apparently suffering from a mental disorder and in danger of harming herself"" and were justified in their decision to apprehend her and take her to hospital for evaluation.",mental disorder
One of those circumstances is if the offender has a serious physical or mental disorder or disability and is being held in the treatment facility operated by the department until they may be placed in a similar treatment setting outside the department.,mental disorder
"They note that the associations were observed in both genders and in all age groups, although a stronger association was found between mental disorders and mortality in the youngest vs the oldest cohort.",mental disorder
"After graduating from The School of Visual Arts in New York, Sellitti moved to Los Angeles, where he interned for Bryan Singer's production company, 'Bad Hat Harry' as well as Steven Spielberg's company, 'Dreamworks.'",bad hat
What we call a bad knife is a good knife not good enough for us; what we call a bad hat is a good hat not good enough for us; what we call bad cookery is good cookery not good enough for us; what we call a bad civilization is a good civilization not good enough for us.,bad hat
"Here is the stone; the stone came from the goose, and the goose came from Mr. Henry Baker, the gentleman with the bad hat and all the other characteristics with which I have bored you.",bad hat
The moral character of a bad hat is secondary.,bad hat
This life vest offers immediate protection.,life vest
"The footage showed a life vest being placed around the driver as he was moved from the roof, through the water and onto the trailer of the tractor.",life vest
He is a proverbial life vest that has pulled so many people through in times of despair during these extended periods of remote learning.,life vest
"Let the Word of God be our life vest to keep us afloat, so as not to drown.",life vest
"The Alpha Squids mailing list, which allows Beal to send 450 squidlings email about upcoming events, exists at a bizarre crossroads of the San Francisco underground scene.",mailing list
"There are various examples of how companies can do this, including committing to planting a tree when a consumer joins a mailing list or adding a QR code to a coffee cup, which can be scanned to offset the carbon footprint of that cup.",mailing list
"The directory, mailing list and other publishers market is segmented into directory and mailing list and other publishers.",mailing list
"The whole mailing list thing came about because with shows nowhere in sight, I wanted to figure out a way to maintain a connection with our fans,"" explains Fatties drummer Jordan Duttinger (who also runs local tape label Godless America).",mailing list
"At corner of the bar at Coaches Tavern, a large decal sporting the mayor’s face reads, “Reserved for Mayor Joe Hogsett,” where at midday today there was plenty of elbow room at the foot rail as Sutton awaited confirmation that the Big Ten men were coming next month.",elbow room
"For Amazing Northern Michigan Homes, Whitney Amann and photojournalist Jeremy Erickson take us to a stunning family home in Kingsley with plenty of barn wood details and vintage accents, not to mention an abundance of elbow room inside and out.",elbow room
"The significant decline in filings last year gave courts ""some elbow room"" as they adjusted to the pandemic, aided greatly by the use of video and audio technology to conduct business remotely, Miller said.",elbow room
